أرْبعْطعِش,fourteen,,number,,,,,,,77
بلّش يِتْصرّف غلط عالأرْبعْطعِش.‌,He started behaving badly at [the age of] fourteen.,,,,,,,,,78
أرْبْعين,forty,,number,,,,,,,79
تْقابلوا بعْد أرْبْعين سِنِة.‌,They met after forty years.,,,,,,,,,80
إرْتِفاع,increase;rise,,noun,,,,,,,81
إرْتِفاع الأسْعار فاجأْني.‌,The increase in prices surprised me.,,,,,,,,,82
الأرْجح,probably,,adverb,,,,,,,83
البيْبي عم يِبْكي عشان الأرْجح بدّو حليب.‌,The baby is crying because he probably wants milk.,,,,,,,,,84
الأُرْدُن,Jordan,,noun (no plural),,,,,,,85
هَيْدا الرِّجّال ملِك الأُرْدُن‌,That man is the king of Jordan.,,,,,,,,,86
إرْسال,signal,,noun,,,,,,,87
التِّلِفوْن مِش ماشي لِأنّ ما في إرْسال.‌,The telephone is not working because there is no signal.,,,,,,,,,88
أرْض,floor;ground;land,,noun; f.,plural,أراضي,,,,,89
الأرْض وِسْخة.‌,The floor is dirty.,,,,,,,,,90
"بعْد العاصْفِة، الشّجر كانوا عالأرِض.‌",After the storm;the trees were on the ground.,,,,,,,,,91
شْترَيْنا أرِض مِن جيرانّا.‌,We bought some land from our neighbors.,,,,,,,,,92
الأرْض‌,(the) Earth,,noun,,,,,,,93
الأرْض بْتِتْحرّك مِتِل دائِرة حَوْل الشّمِس.‌,The Earth moves in a circle around the sun.,,,,,,,,,94
أرْنب,rabbit,,noun,plural,أرانِب,,,,,95
عِنْدي أرْنب أَبْيَض.‌,I have a white rabbit.,,,,,,,,,96
أزْبط/أظْبط,better;best,,elative,,,,,,,97
قْياس هَيْدي التّنّورة أزْبط.‌,The size of this skirt is better.,,,,,,,,,98
أزْبط شي إنّك تْفِلّ.‌,It is best that you leave.,,,,,,,,,99
أزْرق,blue,,adjective,feminine,زرْقا,,plural,زِرِق,,100
عْيْونك كْتير زِرِق.‌,Your eyes are so blue!,,,,,,,,,101
أُسْبوع,week,,noun,plural,أسابيع,,,,,102
بْروح عالنّادي مرّْتيْن بِالأُسْبوع.‌,I go to the gym twice a week.,,,,,,,,,103
إسْتاذ,sir;(male) teacher,,noun,plural,أساتْذِة,,,,,104
"إسْتاذ، بْليز فيك تعْطيني إسْمك؟‌",Sir;could you give me your name;please?,,,,,,,,,105
الإسْتاذ بيحِبّ تْلاميذو.‌,The teacher loves his students.,,,,,,,,,106
أسد,lion,,noun,plural,أْسوْد,,,,,107
الأسد ملِك الحَيَوانات.‌,The lion is king of the animals.,,,,,,,,,108
أسْفل,bottom;underside,,noun (no plural),,,,,,,109
أسْفل جزِمْتي وِسِخ.‌,The bottom of my shoe is dirty.,,,,,,,,,110
إسِم,name,,noun,plural,أسامي,,plural,أسْماء,,111
ما بعْرِف أسامي كِلّ تْلاميذي.‌,I don't know the names of all my students.,,,,,,,,,112
أسْوأ,worse;worst,,elative,,,,,,,113
نتايْجي بِالمدْرسِة أسْوَأ مِن إخْتي.‌,My grades at school were worse than my sister's.,,,,,,,,,114
هَيْدا أسْوَأ يوْم بِحَياتي!‌,This is the worst day of my life!,,,,,,,,,115
أسْوَد,black,,adjective,feminine,سَوْدا,,plural,سود,,116
الكلِب أسْوَد والِبْسَيْنِة سَوْدا كمان.‌,The dog is black;and the cat is black;too.,,,,,,,,,117
أشار,signal,,verb,imperfect,يْشير,,,,,118
بْتسمِت لتْشير إنّا بِتْوافِق.‌,She smiled to signal that she agrees.,,,,,,,,,119
أُصْبع,finger,,noun,plural,أصابيع,,,,,120
المرا عِنْدا خاتِم بِأُصْبعا.‌,The woman has a ring on her finger.,,,,,,,,,121
أُصْبع إجِر‌,toe,,noun,,,,,,,122
عوّرِت أُصْبع إجْري.‌,I hurt my toe.,,,,,,,,,123
أصْفر,yellow,,adjective,feminine,صفْرا,,plural,صُفُر,,124
الشّمِس صفْرا.‌,The sun is yellow.,,,,,,,,,125
إضافي,additional;further,,adjective,,,,,,,126
فيك تعْطي معْلومات إضافية؟‌,Can you give me further information?,,,,,,,,,127
أضْرب,worse;worst,,elative,,,,,,,128
نتايْجي بِالمدْرسِة أضْرب مِن إخْتي.‌,My grades at school were worse than my sister's.,,,,,,,,,129
هَيْدا أضْرب يوْم بِحَياتي!‌,This is the worst day of my life!,,,,,,,,,130
أعْزب,single;unmarried,,adjective,feminine,عزْبا,,plural,عِزّابِة,,131
هُوِّ أعْزب.‌,He is single.,,,,,,,,,132
أعْمى,blind,,adjective,feminine,عمْيا,,plural,عِمْيان,,133
عِنْدو كلِب لَيْساعْدو لِأنّو أعْمى.‌,He has a dog to help him because he's blind.,,,,,,,,,134
أفْضل,better;best,,elative,,,,,,,135
قْياس هَيْدي التّنّورة أفْضل.‌,The size of this skirt is better.,,,,,,,,,136
أفْضل شي إنّك تْفِلّ.‌,It is best that you leave.,,,,,,,,,137
أقلّ,less,,elative,,,,,,,138
عم يْنام أقلّ مِن قبِل.‌,He is sleeping less than before.,,,,,,,,,139
أكْتر,more,,elative,,,,,,,140
الصُّبْيان بيحِبّوا السِّيّارات أكْتر مِن البنات.‌,Boys like cars more than girls.,,,,,,,,,141
أكْترية,majority;most (of),,noun,,,,,,,142
أكْتريةْ البوْليس رْجال.‌,Most police are men.,,,,,,,,,143
أكِل,food,,noun,,,,,,,144
بْحِبّ الأكِل الإيطالي.‌,I like Italian food.,,,,,,,,,145
أكل,eat,,verb,imperfect,ياكُل,,,,,146
الصّبي أكل تِفّاحْتو.‌,The boy ate his apple.,,,,,,,,,147
أكيد,certain;sure,,adjective,,,,,,,148
"أنا أكيد إنّو الصُّبُح، تْطّلعِت عالسّاعة.‌",I am certain it is morning. I looked at the clock.,,,,,,,,,149
الـ,the,,particle,,,,,,,150
البيْت الِكْبير أبْيَض.‌,The big house is white.,,,,,,,,,151
إلّا,except,,conjunction,,,,,,,152
كِلّ المعازيم فلّوا إلّا إخْتي.‌,All the guests left except my sister.,,,,,,,,,153
ألخ,et cetera;etc.;and so on,,,,,,,,,154
"لح نْبلِّش بِأوّل تِمْرين، بعْديْن التّاني وألخ.‌",We will start with the first exercise;then the second;etc.,,,,,,,,,155
ألْف,thousand,,number,,,,,,,156
الوَلد الصّْغير فيه يْعِدّ للألْف.‌,The young boy can count to a thousand.,,,,,,,,,157
اللّه,God,,noun,,,,,,,158
سألِت اللّه يِحْميلا وْلادا.‌,She asked God to protect her children.,,,,,,,,,159
ألْماني,German,,noun; adjective,plural,ألْمان,,,,,160
